100 1 100 100 66
100 2 199 173 56
100 3 297 199 102
100 4 394 239 80
100 5 490 246 74
100 6 585 289 79
100 7 679 296 103
100 8 772 302 104
100 9 864 329 106
100 10 955 362 93
100 11 1045 361 108
100 12 1134 379 111
100 13 1222 385 98
100 14 1309 345 107
100 15 1395 389 97
100 16 1480 414 105
100 17 1564 401 116
100 18 1647 414 117
100 19 1729 408 115
100 20 1810 429 118
100 21 1890 427 118
100 22 1969 436 116
100 23 2047 457 122
100 24 2124 453 123
100 25 2200 461 124
100 26 2275 455 125
100 27 2349 465 115
100 28 2422 472 125
100 29 2494 471 128
100 30 2565 473 127
100 31 2635 474 126
100 32 2704 488 131
100 33 2772 483 132
100 34 2839 485 131
100 35 2905 487 134
100 36 2970 498 133
100 37 3034 498 136
100 38 3097 497 137
100 39 3159 499 138
100 40 3220 510 139
100 41 3280 505 140
100 42 3339 522 141
100 43 3397 516 140
100 44 3454 527 142
100 45 3510 526 138
100 46 3565 512 145
100 47 3619 527 146
100 48 3672 529 145
100 49 3724 532 148
100 50 3775 524 149
100 51 3825 536 150
100 52 3874 532 151
100 53 3922 542 152
100 54 3969 538 153
100 55 4015 533 154
100 56 4060 541 155
100 57 4104 543 153
100 58 4147 541 155
100 59 4189 541 158
100 60 4230 541 159
100 61 4270 541 160
100 62 4309 543 161
100 63 4347 543 161
100 64 4384 545 163
100 65 4420 547 164
100 66 4455 549 165
100 67 4489 551 166
100 68 4522 553 167
100 69 4554 551 168
100 70 4585 558 169
100 71 4615 555 170
100 72 4644 559 171
100 73 4672 561 172
100 74 4699 561 173
100 75 4725 564 174
100 76 4750 560 175
100 77 4774 560 176
100 78 4797 565 177
100 79 4819 567 178
100 80 4840 566 179
100 81 4860 564 180
100 82 4879 571 181
100 83 4897 573 182
100 84 4914 568 183
100 85 4930 576 184
100 86 4945 573 185
100 87 4959 573 186
100 88 4972 575 187
100 89 4984 573 188
100 90 4995 576 189
100 91 5005 578 190
100 92 5014 577 191
100 93 5022 577 192
100 94 5029 580 193
100 95 5035 577 194
100 96 5040 579 195
100 97 5044 580 196
100 98 5047 579 197
100 99 5049 580 198
100 100 5050 580 199
