50 1 50 50 6
50 2 99 64 50
50 3 147 99 49
50 4 194 121 40
50 5 240 132 49
50 6 285 146 47
50 7 329 146 56
50 8 372 170 54
50 9 414 167 47
50 10 455 174 58
50 11 495 164 57
50 12 534 179 61
50 13 572 179 61
50 14 609 188 55
50 15 645 189 58
50 16 680 191 65
50 17 714 201 66
50 18 747 204 66
50 19 779 202 68
50 20 810 209 68
50 21 840 212 66
50 22 869 211 70
50 23 897 213 72
50 24 924 217 73
50 25 950 221 71
50 26 975 217 75
50 27 999 223 76
50 28 1022 224 77
50 29 1044 223 78
50 30 1065 224 79
50 31 1085 224 78
50 32 1104 225 81
50 33 1122 227 82
50 34 1139 230 83
50 35 1155 231 84
50 36 1170 233 85
50 37 1184 235 86
50 38 1197 233 87
50 39 1209 235 88
50 40 1220 238 89
50 41 1230 237 90
50 42 1239 236 91
50 43 1247 239 92
50 44 1254 240 93
50 45 1260 240 94
50 46 1265 242 95
50 47 1269 242 96
50 48 1272 242 97
50 49 1274 242 98
50 50 1275 243 99
